COUSUBFP,NAMELSAD,Place Name,Label
8966,Browning township,Schuyler County,None
10708,Camden township,Schuyler County,None
27793,Frederick township,Schuyler County,None
34462,Hickory township,Schuyler County,None
36776,Huntsville township,Schuyler County,None
477,Akron township,Peoria County,Current Clients
8316,Brimfield township,Peoria County,Current Clients
14130,Chillicothe township,Peoria County,Current Clients
23711,Elmwood township,Peoria County,Current Clients
35645,Hollis township,Peoria County,Current Clients
38765,Jubilee township,Peoria County,Current Clients
43523,Limestone township,Peoria County,Current Clients
14780,Clayton township,Adams County,None
23412,Ellington township,Adams County,None
29288,Gilmer township,Adams County,None
43458,Lima township,Adams County,None
48320,Mendon township,Adams County,None
77057,Ursa township,Adams County,None
92730,Precinct 37,Monroe County,None
92685,Precinct 28,Monroe County,None
7679,Bradford township,Lee County,None
8654,Brooklyn township,Lee County,None
32980,Harmon township,Lee County,None
42613,Lee Center township,Lee County,None
66352,Rushville township,Schuyler County,None
32226,Hale township,Warren County,None
72065,Spring Grove township,Warren County,None
90360,Belleview precinct,Calhoun County,None
90630,Carlin precinct,Calhoun County,None
90900,Crater precinct,Calhoun County,None
91350,Gilead precinct,Calhoun County,None
91584,Hamburg precinct,Calhoun County,None
91011,Du Quoin No. 2 precinct,Perry County,None
90342,Beaucoup precinct,Perry County,None
93330,Sunfield precinct,Perry County,None
92475,Pinckneyville No. 8 precinct,Perry County,None
93384,Tamaroa No. 1 precinct,Perry County,None
90936,Cutler precinct,Perry County,None
44342,Logan township,Peoria County,Current Clients
49113,Millbrook township,Peoria County,Current Clients
61938,Princeville township,Peoria County,Current Clients
62510,Radnor township,Peoria County,Current Clients
63771,Richwoods township,Peoria County,Current Clients
65715,Rosefield township,Peoria County,Current Clients
75289,Timber township,Peoria County,Current Clients
43913,Lisbon township,Kendall County,In the Pipeline
43913,Lisbon township,Kendall County,In the Pipeline
77668,Vernon township,Lake County,Current Clients
47482,Mason City township,Mason County,None
92394,Percy precinct,Randolph County,None
67483,Sand Prairie township,Tazewell County,In the Pipeline
17861,Cruger township,Woodford County,None
91720,Jacksonville No. 10 precinct,Morgan County,None
83674,Wyoming township,Lee County,None
91602,Hardin precinct,Calhoun County,None
44069,Littleton township,Schuyler County,None
92988,Richwood precinct,Calhoun County,None
44238,Lockport township,Will County,None
82244,Wilton township,Will County,None
12483,Channahon township,Will County,None
17536,Crete township,Will County,None
18199,Custer township,Will County,None
26519,Florence township,Will County,None
27631,Frankfort township,Will County,None
47241,Martinsburg township,Pike County,None
76121,Trivoli township,Peoria County,None
80749,West Peoria township,Peoria County,None
51557,Nachusa township,Lee County,None
12892,Chemung township,McHenry County,None
56783,Osceola township,Stark County,None
90648,Carterville precinct,Williamson County,None
90918,Creal Springs precinct,Williamson County,None
91620,Herrin precinct,Williamson County,None
93294,Stonefort precinct,Williamson County,None
90882,Crab Orchard precinct,Williamson County,None
20396,Dorr township,McHenry County,None
21111,Dunham township,McHenry County,None
30666,Grafton township,McHenry County,None
31680,Greenwood township,McHenry County,None
33864,Hebron township,McHenry County,None
84194,Zif township,Wayne County,None
91764,Jonesboro District 1 precinct,Union County,None
43003,Levee township,Pike County,None
50192,Montezuma township,Pike County,None
14728,Clay City township,Clay County,None
51895,Nebraska township,Livingston County,None
73781,Sunbury township,Livingston County,None
31394,Green Garden township,Will County,None
35827,Homer township,Will County,None
38076,Jackson township,Will County,None
38583,Joliet township,Will County,None
49958,Monee township,Will County,None
52597,New Lenox township,Will County,None
2453,Ash Grove township,Iroquois County,None
12814,Chebanse township,Iroquois County,None
16041,Concord township,Iroquois County,None
18511,Danforth township,Iroquois County,None
47293,Martinton township,Iroquois County,None
91017,Du Quoin No. 8 precinct,Perry County,None
90846,Corinth precinct,Williamson County,None
93204,Southern precinct,Williamson County,None
91836,Lake Creek precinct,Williamson County,None
45707,McHenry township,McHenry County,None
46799,Marengo township,McHenry County,None
63654,Richmond township,McHenry County,None
17640,Crooked Creek township,Cumberland County,None
72143,Spring Point township,Cumberland County,None
64096,Riley township,McHenry County,None
54495,Nunda township,McHenry County,In the Pipeline
68653,Seneca township,McHenry County,None
5807,Bible Grove township,Clay County,None
6392,Blair township,Clay County,None
56835,Oskaloosa township,Clay County,None
60261,Pixley township,Clay County,None
73508,Sullivan township,Moultrie County,None
57017,Otto township,Kankakee County,None
70486,Songer township,Clay County,None
72247,Stanford township,Clay County,None
83752,Xenia township,Clay County,None
25544,Farmington township,Fulton County,None
33110,Harris township,Fulton County,None
37842,Isabel township,Fulton County,None
79137,Waterford township,Fulton County,None
44017,Little Mackinaw township,Tazewell County,In the Pipeline
10175,Butler Grove township,Montgomery County,None
53182,Nokomis township,Montgomery County,None
53949,North Litchfield township,Montgomery County,None
62978,Raymond township,Montgomery County,None
4091,Batavia township,Kane County,None
5989,Big Rock township,Kane County,None
6262,Blackberry township,Kane County,None
10903,Campton township,Kane County,None
16587,Cottonwood township,Cumberland County,None
73729,Sumpter township,Cumberland County,None
82959,Woodbury township,Cumberland County,None
31537,Greenup township,Cumberland County,None
90090,Alto Pass precinct,Union County,None
21046,Dundee township,Kane County,In the Pipeline
28885,Geneva township,Kane County,Current Clients
32538,Hampshire township,Kane County,None
38908,Kaneville township,Kane County,None
12177,Centralia township,Marion County,None
65455,Romine township,Marion County,None
67249,Salem township,Marion County,None
75744,Tonti township,Marion County,None
59247,Peru township,La Salle County,None
68692,Serena township,La Salle County,None
18979,Deerfield township,Fulton County,None
71110,South Ottawa township,La Salle County,None
76238,Troy Grove township,La Salle County,None
77096,Utica township,La Salle County,None
78487,Wallace township,La Salle County,None
78682,Waltham township,La Salle County,None
21813,East Galena township,Jo Daviess County,None
58187,Pawnee township,Sangamon County,In the Pipeline
24465,Essex township,Kankakee County,None
28456,Ganeer township,Kankakee County,None
38947,Kankakee township,Kankakee County,None
43497,Limestone township,Kankakee County,None
46513,Manteno township,Kankakee County,None
49906,Momence township,Kankakee County,None
54352,Norton township,Kankakee County,None
90522,Brewerville precinct,Randolph County,None
91818,Kaskaskia precinct,Randolph County,None
