NAMELSAD,COUSUBFP
Peru township,59247
Serena township,68692
Deerfield township,18979
South Ottawa township,71110
Troy Grove township,76238
Utica township,77096
Wallace township,78487
Waltham township,78682
East Galena township,21813
Pawnee township,58187
Essex township,24465
Ganeer township,28456
Kankakee township,38947
Limestone township,43497
Manteno township,46513
Momence township,49906
Norton township,54352
Brewerville precinct,90522
Kaskaskia precinct,91818
Rockwood precinct,93042
Wine Hill precinct,93834
Bourbon township,07458
Alsey precinct,90072
Bloomfield precinct,90468
Glasgow precinct,91368
Manchester precinct,92016
Bowdre township,07497
Camargo township,10604
Garrett township,28755
Murdock township,51427
Newman township,52636
Sargent township,67730
Tuscola township,76420
Stonington township,72962
Bald Hill township,03428
Blissville township,06496
Casner township,11670
Dodds township,20227
Elk Prairie township,23334
Farrington township,25648
Field township,25986
Grand Prairie township,30731
Merritt precinct,92052
Naples-Bluffs precinct,92250
Winchester No. 1 precinct,93780
Winchester No. 2 precinct,93798
McClellan township,45512
Moores Prairie township,50348
Mount Vernon township,51193
Pendleton township,58564
Rome township,65377
Shiloh township,69511
Spring Garden township,72039
Webber township,79514
Central precinct,90702
Coulterville precinct,90864
Palestine precinct,92358
Steeleville precinct,93240
Tilden precinct,93438
Baldwin precinct,90306
Ellis Grove precinct,91170
Blue Mound township,06769
Decatur township,18836
Winchester No. 3 precinct,93816
El Paso township,23750
Menominee township,48372
Nora township,53208
Friends Creek township,27988
Harristown township,33240
Hickory Point township,34527
Long Creek township,44511
Maroa township,47085
Mount Zion township,51219
Deer Park township,19096
Groveland township,31914
Vermillion township,77623
Pleasant Valley township,60664
Rawlins township,62926
Clear Lake township,14858
Curran township,18160
Gardner township,28651
Brookville township,08784
Rice township,63472
Rush township,66326
Scales Mound township,67938
Niantic township,52974
Oakley township,54859
South Wheatland township,71357
Whitmore township,81464
Thompson township,75146
Wards Grove township,78799
Warren township,78864
West Galena township,80359
Woodbine township,82907
Vinegar Hill township,78084
Union precinct,93484
Eagle Creek township,21449
Equality township,24361
Gold Hill township,30302
North Fork township,53702
Arenzville township,01959
Ashland township,02518
Beardstown township,04364
Omaha township,56016
Ridgway township,64031
Shawnee township,69069
Jacksonville No. 2 precinct,91712
Christy township,14299
Lukin township,45200
Hagener township,32148
Newmansville township,52662
Panther Creek township,57550
Philadelphia township,59481
Virginia township,78214
Pisgah precinct,92484
Buffalo township,09421
Byron township,10253
Dement township,19382
Eagle Point township,21501
Flagg township,26298
Grand Detour township,30718
Lafayette township,40650
Leaf River township,42470
Lincoln township,43549
Lynnville township,45382
Marion township,46903
Maryland township,47358
Monroe township,50049
Mount Morris township,51011
Oregon-Nashua township,56504
Pine Rock township,59975
Alexander precinct,90054
Arcadia precinct,90234
Jacksonville No. 1 precinct,91711
Jacksonville No. 3 precinct,91713
Jacksonville No. 4 precinct,91714
Rockvale township,65182
White Rock township,81399
Woosung township,83492
Allison township,00906
Russell township,66378
Bridgeport township,08199
Shabbona township,68835
Somonauk township,70473
Anna District 1 precinct,90126
Anna District 2 precinct,90144
Anna District 3 precinct,90162
Anna District 6 precinct,90216
Elmira township,23646
Neoga township,51993
Union township,76641
Ayers township,03246
Cache precinct,90576
Locust township,44251
Scott township,68302
Ora township,56276
Afton township,00386
Clinton township,14988
Cortland township,16483
DeKalb township,19174
Hall township,32265
Macon township,45928
Franklin township,27650
Genoa township,28911
Kingston township,40078
Malta township,46292
Mayfield township,47696
Milan township,48983
Paw Paw township,58200
Pierce township,59676
Sandwich township,67561
South Grove township,70837
Sycamore township,74236
Sugar Creek township,73365
Freedom township,27832
Foster township,27195
Waverly No. 1 precinct,93640
Stevenson township,72598
Bloomington township,06626
Bloomington City township,06639
Cheney's Grove township,12905
Empire township,24140
Hudson township,36451
Franklin precinct,91278
Jacksonville No. 5 precinct,91715
Carrigan township,11436
Haines township,32187
Meacham township,47826
Raccoon township,62445
Rocky Run-Wilcox township,65240
Cotton Hill township,16574
Fancy Creek township,25323
Crane Creek township,17250
Kilbourne township,39870
Salt Creek township,67353
Sherman township,69329
Colfax township,15482
Compromise township,15976
Evans township,24569
Condit township,16080
Crittenden township,17588
Ogden township,55288
Pesotum township,59286
Rosiclare precinct,93050
La Prairie township,42093
Richland township,63589
Saratoga township,67691
Philo township,59546
Stanton township,72273
Tolono township,75627
Whitefield township,81230
Iuka township,37946
Amity township,01348
Germanville township,29106
Blandinsville township,06483
Chalmers township,12333
Emmet township,24101
Macomb township,45902
Macomb City township,45915
East Bend township,21566
Harwood township,33422
Kerr township,39688
Mahomet township,46149
Newcomb township,52376
Raymond township,62952
Scotland township,68250
Auburn township,02908
Sadorus township,66547
Scott township,68289
Sidney township,69888
South Homer township,70863
Rock precinct,92995
Illini township,37023
Champaign township,12398
Champaign City township,12411
Cunningham township,18121
Mount Pleasant township,51076
Dillon township,19941
Hopedale township,36139
Hensley township,34189
Ludlow township,45187
Rantoul township,62796
St. Joseph township,66963
Somer township,70382
Urbana township,77018
Bruce township,09057
Freedom township,27845
East Eldorado township,21709
Galatia township,28274
Woodland township,83076
Rutland township,66456
Harrisburg township,33149
Thebes precinct,93420
South Palmyra township,71136
Cahokia township,10357
South Otter township,71123
Chesterfield township,13178
Gillespie township,29249
Dorchester township,20383
Barr township,03792
Smallwood township,70200
Pleasant View township,60677
Lancaster township,41885
Silver Creek township,69953
Independence township,37205
Long Branch township,44485
Raleigh township,62601
Rector township,63030
Tate township,74509
Mount Auburn township,50842
Blairsville precinct,90432
East Marion precinct,91062
Grassy precinct,91548
West Marion precinct,93690
Rozetta township,66222
Elwood township,23932
Galesburg township,28339
Henderson township,34020
Orange township,56315
Greenview No. 6 precinct,91566
Oakford No. 9 precinct,92286
Sandridge No. 8 precinct,93096
Essex township,24478
Goshen township,30627
Aetna township,00360
Elkhart township,23282
Orvil township,56705
Prairie Creek township,61574
West Lincoln township,80593
Grand Chain precinct,91476
Ullin precinct,93474
Villa Ridge precinct,93564
Exeter-Bluffs precinct,91224
May township,47631
Wysox township,83700
Kane township,38882
Rockbridge township,64824
White Hall township,81269
Belknap precinct,90346
Cache precinct,90594
Goreville No. 2 precinct,91458
Tunnel Hill precinct,93456
Erie township,24387
Lyndon township,45291
Penn township,58603
West Jersey township,80489
Blount township,06678
Butler township,10162
Carroll township,11449
Catlin township,11787
Newton township,52857
Portland township,61262
Dongola District 1 precinct,90972
Ashley township,02544
Beaucoup township,04442
Bolo township,07172
Du Bois township,20877
Irvington township,37790
Avoca township,03194
Belle Prairie township,04780
Broughton township,08888
Charlotte township,12606
Chatsworth township,12723
Dwight township,21371
Galva township,28443
Bremen precinct,90504
Chester precinct,90738
Evansville precinct,91206
Prairie du Rocher precinct,92520
Red Bud precinct,92970
Ruma precinct,93060
Sparta precinct,93222
Danville township,18576
Georgetown township,28976
Grant township,30965
Johannisburg township,38453
Lively Grove township,44108
Nashville township,51713
Pilot Knob township,59858
Plum Hill township,60807
LeRoy township,42951
Manchester township,46318
Poplar Grove township,61158
Love township,44953
McKendree township,45772
Middlefork township,48775
Richview township,63732
Eppards Point township,24309
Esmen township,24426
Spring township,71578
Cherry Grove-Shannon township,12996
Fairhaven township,24881
Fayette township,25700
Forrest township,27039
Indian Grove township,37244
Long Point township,44589
Nevada township,52077
Newtown township,52883
Odell township,55184
Mount Carroll township,50894
Casey township,11631
Emma township,24088
Hawthorne township,33591
Mill Shoals township,49360
Rock Creek-Lima township,64892
Salem township,67210
Savanna township,67834
Washington township,79020
York township,83908
Newell township,52454
Oakwood township,55015
Pilot township,59832
Owego township,57056
Pike township,59780
Pleasant Ridge township,60612
Pontiac township,61028
Reading township,63017
Round Grove township,65988
Andover township,01504
Western township,80190
Sidell township,69849
South Ross township,71227
Bowling Green township,07562
Kaskaskia township,39116
Sharon township,69017
Saunemin township,67808
Sullivan township,73482
Union township,76680
Balcom precinct,90288
Cobden District 1 precinct,90756
Cave-In-Rock precinct,90666
McFarlan precinct,91998
Monroe precinct,92170
Cobden District 2 precinct,90774
Dongola District 2 precinct,90990
Vance township,77304
Cedar township,11891
Chestnut township,13217
Copley township,16275
Elba township,22879
Haw Creek township,33552
Indian Point township,37361
Knox township,40403
Maquon township,46708
Brushy township,09122
Cottage township,16535
South Macon township,70967
Stone Church precinct,93276
Ontario township,56172
Persifer township,59221
Rio township,64161
Salem township,67223
Sparta township,71435
Bradley township,07731
Lick Creek precinct,91872
Mill Creek precinct,92142
Stokes precinct,93258
Belvidere township,05105
Clement township,14884
Bonus township,07302
Boone township,07328
Caledonia township,10435
Jamaica township,38180
Bethel township,05638
Truro township,76303
Victoria township,77824
Carmi township,11306
Elsah township,23789
De Soto township,19629
Fountain Bluff township,27260
Kinkaid township,40104
Bushnell township,10123
Colchester township,15391
Eldorado township,22996
Lynchburg township,45265
Hire township,35333
Industry township,37452
Sugar Grove No. 5 precinct,93312
Brown township,08914
Lagrange township,40741
Old Ripley township,55730
Tamalco township,74418
Alba township,00503
Annawan township,01582
Atkinson township,02739
Burns township,09824
Clover township,15040
Colona township,15677
Cornwall township,16444
Edford township,22476
Geneseo township,28859
Hanna township,32642
Kewanee township,39740
Loraine township,44732
Clintonia township,15014
Creek township,17302
Shelby No. 2 precinct,93156
Harp township,33058
Lynn township,45304
Munson township,51388
Osco township,56809
Oxford township,57108
Phenix township,59462
Weller township,79722
Wethersfield township,80983
Yorktown township,84012
Plainfield township,60300
Reed township,63108
Troy township,76212
Washington township,79059
Wesley township,79865
Dallas City township,18433
Nauvoo township,51804
Texas township,74769
Tunbridge township,76342
Wapella township,78786
Pilot Grove township,59845
Pontoosuc township,61093
Cooperstown township,16262
Wilson township,82140
Stockton township,72793
Carlyle township,11241
Lake township,40871
Ash Grove township,02466
Kickapoo township,39818
Medina township,48099
Cairo precinct,90612
Tamms precinct,93402
Squaw Grove township,72182
Austin township,03051
Wheatland township,81035
Wilmington township,82114
Charleston township,12580
Hutton township,36880
Adkins precinct,90018
East Brooklyn precinct,91026
Bennington township,05235
Aux Sable township,03090
Pickaway township,59663
Benton township,05313
Denning township,19421
Tyrone township,76576
Grant precinct,91494
Hillerman precinct,91638
German township,29028
Madison township,46006
Preston township,61847
Seward township,68783
Anna District 5 precinct,90198
Shirland township,69615
Hopewell township,36152
Braceville township,07653
Erienna township,24400
Felix township,25778
Garfield township,28677
Windsor township,82335
Jackson precinct,91692
Metropolis No. 2 precinct,92088
Metropolis No. 3 precinct,92106
West Brooklyn precinct,93672
Flora township,26441
Barnhill township,03753
Rock Creek township,64876
St. Mary township,67054
Goodfarm township,30432
Greenfield township,31381
Highland township,34657
Maine township,46175
Henry township,34176
Bedford township,04559
Berry township,05521
Mazon township,47800
Franklin precinct,91260
Indian Creek No. 7 precinct,91656
Sonora township,70499
Hutsonville township,36854
Lamotte township,41833
Montgomery township,50205
Robinson township,64720
Southwest township,71344
Wauponsee township,79345
Morris township,50504
Nettle Creek township,52038
Four Mile township,27364
Garden Hill township,28534
Grover township,31953
Hickory Hill township,34501
Norman township,53286
Vienna township,77850
Indian Prairie township,37387
Steuben township,72585
Athensville township,02700
Jasper township,38258
Keith township,39285
Bluffdale township,06860
Linder township,43809
Irish Grove No. 4 precinct,91674
Lamard township,41755
Massilon township,47501
Petersburg West No. 16 precinct,92441
Lincoln precinct,91908
Eliza township,23152
Greene township,31342
Palestine township,57290
Panola township,57537
Partridge township,58018
Spring Bay township,71611
Worth township,83544
St. Clair township,66729
Mount Erie township,50946
Orchard township,56367
Orel township,56510
Roanoke township,64603
Arrington township,02297
Point precinct,92502
Meridian township,48476
Valley township,77174
Gold township,30146
Freeport township,27897
Winslow township,82556
Bond township,07198
Denison township,19395
Lawrence township,42379
Petty township,59377
Buckeye township,09226
Loran township,44758
Astoria township,02648
Banner township,03584
Bernadotte township,05469
Buckheart township,09265
Ashton township,02596
Rock Run township,65143
Canton township,11020
Ellisville township,23542
Fairview township,25076
Farmers township,25427
Joshua township,38713
Franklin Grove township,27695
Dixon township,20175
East Grove township,21865
Hamilton township,32447
Marion township,46890
May township,47644
Godfrey village,30094
Nelson township,51960
