STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type,Label
17,203,Greene township,31355,Woodford County,County,None
17,203,Linn township,43835,Woodford County,County,None
17,203,Metamora township,48619,Woodford County,County,None
17,203,Minonk township,49581,Woodford County,County,None
17,203,Montgomery township,50231,Woodford County,County,None
17,203,Olio township,55821,Woodford County,County,None
17,145,Pinckneyville No. 3 precinct,92470,Perry County,County,None
17,145,Du Quoin No. 7 precinct,91016,Perry County,County,None
17,65,McLeansboro township,45837,Hamilton County,County,None
17,65,South Crouch township,70655,Hamilton County,County,None
17,145,Du Quoin No. 9 precinct,91018,Perry County,County,None
17,145,Du Quoin No. 10 precinct,91019,Perry County,County,None
17,145,Du Quoin No. 11 precinct,91020,Perry County,County,None
17,67,Appanoose township,1621,Hancock County,County,None
17,47,Albion No. 1 precinct,90039,Edwards County,County,None
17,47,Albion No. 2 precinct,90041,Edwards County,County,None
17,47,Albion No. 3 precinct,90044,Edwards County,County,None
17,107,Lake Fork township,41144,Logan County,County,None
17,107,Mount Pulaski township,51141,Logan County,County,None
17,107,Sheridan township,69290,Logan County,County,None
17,11,Indiantown township,37413,Bureau County,County,None
17,11,La Moille township,41807,Bureau County,County,None
17,11,Leepertown township,42665,Bureau County,County,None
17,11,Milo township,49438,Bureau County,County,None
17,67,Augusta township,2999,Hancock County,County,None
17,67,Chili township,14104,Hancock County,County,None
17,145,Du Quoin No. 1 precinct,91010,Perry County,County,None
17,145,Swanwick precinct,93348,Perry County,County,None
17,145,Willisville precinct,93762,Perry County,County,None
17,145,Du Quoin No. 12 precinct,91021,Perry County,County,None
17,11,Princeton township,61912,Bureau County,County,None
17,65,South Twigg township,71305,Hamilton County,County,None
17,65,Twigg township,76472,Hamilton County,County,None
17,145,Pinckneyville No. 1 precinct,92468,Perry County,County,None
17,145,Pinckneyville No. 2 precinct,92469,Perry County,County,None
17,89,Plato township,60365,Kane County,County,None
17,89,Rutland township,66430,Kane County,County,None
17,89,Sugar Grove township,73404,Kane County,County,None
17,89,Virgil township,78188,Kane County,County,None
17,11,Mineral township,49529,Bureau County,County,None
17,11,Neponset township,52012,Bureau County,County,None
17,11,Ohio township,55392,Bureau County,County,None
17,11,Selby township,68562,Bureau County,County,None
17,139,Dora township,20344,Moultrie County,County,None
17,145,Pinckneyville No. 4 precinct,92471,Perry County,County,None
17,145,Pinckneyville No. 5 precinct,92472,Perry County,County,None
17,145,Pinckneyville No. 6 precinct,92473,Perry County,County,None
17,145,Pinckneyville No. 7 precinct,92474,Perry County,County,None
17,139,East Nelson township,22099,Moultrie County,County,None
17,139,Jonathan Creek township,38609,Moultrie County,County,None
17,11,Walnut township,78539,Bureau County,County,None
17,11,Westfield township,80268,Bureau County,County,None
17,11,Wheatland township,81009,Bureau County,County,None
17,11,Wyanet township,83635,Bureau County,County,None
17,135,Audubon township,2960,Montgomery County,County,None
17,135,East Fork township,21761,Montgomery County,County,None
17,145,Tamaroa No. 2 precinct,93386,Perry County,County,None
17,177,Ridott township,64057,Stephenson County,County,None
17,71,Biggsville township,5911,Henderson County,County,None
17,71,Raritan township,62861,Henderson County,County,None
17,143,Hallock township,32304,Peoria County,County,Current Clients
17,107,East Lincoln township,21982,Logan County,County,None
17,107,Hurlbut township,36789,Logan County,County,None
17,107,Oran township,56289,Logan County,County,None
17,127,Georges Creek precinct,91332,Massac County,County,None
17,111,Algonquin township,698,McHenry County,County,In the Pipeline
17,109,Lamoine township,41820,McDonough County,County,None
17,109,Mound township,50738,McDonough County,County,None
17,109,New Salem township,52792,McDonough County,County,None
17,149,Atlas township,2791,Pike County,County,None
17,149,Barry township,3974,Pike County,County,None
17,109,Prairie City township,61561,McDonough County,County,None
17,149,Chambersburg township,12359,Pike County,County,None
17,109,Sciota township,68211,McDonough County,County,None
17,109,Tennessee township,74678,McDonough County,County,None
17,105,Waldo township,78409,Livingston County,County,None
17,153,Mounds precinct,92196,Pulaski County,County,None
17,109,Walnut Grove township,78591,McDonough County,County,None
17,113,Blue Mound township,6743,McLean County,County,Current Clients
17,113,Chenoa township,12944,McLean County,County,None
17,149,Cincinnati township,14390,Pike County,County,None
17,149,Derry township,19577,Pike County,County,None
17,149,Detroit township,19694,Pike County,County,None
17,149,Fairmount township,24972,Pike County,County,None
17,149,Griggsville township,31784,Pike County,County,None
17,149,Hadley township,32070,Pike County,County,None
17,113,Cropsey township,17705,McLean County,County,None
17,113,Danvers township,18550,McLean County,County,None
17,113,Dawson township,18732,McLean County,County,Current Clients
