STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type
17,005,Central township,12112,Bond County,County
17,053,Lyman township,45252,Ford County,County
17,031,Bloom township,06561,Cook County,County
17,031,Chicago city,14000,Cook County,County
17,031,Elk Grove township,23243,Cook County,County
17,031,Leyden township,43120,Cook County,County
17,031,Maine township,46162,Cook County,County
17,031,Rich township,63498,Cook County,County
17,031,River Forest township,64317,Cook County,County
17,031,Stickney township,72689,Cook County,County
17,031,Worth township,83531,Cook County,County
17,161,Rural township,66300,Rock Island County,County
17,161,South Moline township,70993,Rock Island County,County
17,161,South Rock Island township,71201,Rock Island County,County
17,155,Magnolia township,46123,Putnam County,County
17,111,Alden township,00607,McHenry County,County
17,155,Senachwine township,68627,Putnam County,County
17,065,Crouch township,17809,Hamilton County,County
17,065,Dahlgren township,18316,Hamilton County,County
17,065,Flannigan township,26324,Hamilton County,County
17,065,Mayberry township,47657,Hamilton County,County
17,065,South Flannigan township,70785,Hamilton County,County
17,001,Houston township,36295,Adams County,County
17,161,Hampton township,32577,Rock Island County,County
17,161,Zuma township,84246,Rock Island County,County
17,137,Jacksonville No. 6 precinct,91716,Morgan County,County
17,137,Jacksonville No. 7 precinct,91717,Morgan County,County
17,137,Jacksonville No. 8 precinct,91718,Morgan County,County
17,137,Jacksonville No. 9 precinct,91719,Morgan County,County
17,137,Jacksonville No. 11 precinct,91721,Morgan County,County
17,137,Jacksonville No. 12 precinct,91722,Morgan County,County
17,001,Keene township,39220,Adams County,County
17,067,Carthage township,11540,Hancock County,County
17,067,Harmony township,32993,Hancock County,County
17,067,Montebello township,50140,Hancock County,County
17,067,Warsaw township,78955,Hancock County,County
17,067,Fountain Green township,27325,Hancock County,County
17,005,Mills township,49321,Bond County,County
17,005,Pleasant Mound township,60586,Bond County,County
17,193,Burnt Prairie township,09902,White County,County
17,193,Gray township,31069,White County,County
17,193,Indian Creek township,37231,White County,County
17,193,Phillips township,59507,White County,County
17,119,Chouteau township,14260,Madison County,County
17,119,Collinsville township,15612,Madison County,County
17,119,Foster township,27182,Madison County,County
17,119,Moro township,50465,Madison County,County
17,119,Nameoki township,51583,Madison County,County
17,119,Omphghent township,56068,Madison County,County
17,119,Saline township,67275,Madison County,County
17,119,Venice township,77486,Madison County,County
17,137,Literberry precinct,91926,Morgan County,County
17,127,Jefferson precinct,91740,Massac County,County
17,001,Liberty township,43146,Adams County,County
17,001,Melrose township,48203,Adams County,County
17,001,Payson township,58278,Adams County,County
17,001,Riverside township,64408,Adams County,County
17,001,Quincy township,62380,Adams County,County
17,001,McKee township,45746,Adams County,County
17,001,Northeast township,53624,Adams County,County
17,001,Richfield township,63550,Adams County,County
17,061,Walkerville township,78461,Greene County,County
17,189,Covington township,17042,Washington County,County
17,189,Hoyleton township,36360,Washington County,County
17,189,Venedy township,77434,Washington County,County
17,137,Waverly No. 2 precinct,93642,Morgan County,County
17,127,Benton precinct,90396,Massac County,County
17,127,Logan precinct,91944,Massac County,County
17,127,Metropolis No. 1 precinct,92070,Massac County,County
17,033,Honey Creek township,35970,Crawford County,County
17,185,Bellmont precinct,90378,Wabash County,County
17,185,Lick Prairie precinct,91890,Wabash County,County
17,023,Westfield township,80294,Clark County,County
17,165,Carrier Mills township,11404,Saline County,County
17,165,Mountain township,50803,Saline County,County
17,165,Stonefort township,72897,Saline County,County
17,137,Woodson precinct,93852,Morgan County,County
17,029,Ashmore township,02570,Coles County,County
17,029,East Oakland township,22138,Coles County,County
17,029,Morgan township,50400,Coles County,County
17,163,Caseyville township,11657,St. Clair County,County
17,163,Fayetteville township,25726,St. Clair County,County
17,163,Mascoutah township,47436,St. Clair County,County
