NAMELSAD
Harlem township
Harrison township
Laona township
Owen township
Rockford township
Rockton township
Winnebago township
Apple River township
Berreman township
Dakota township
Erin township
Florence township
Fancy Prairie No. 3 precinct
Jonesboro District 2 precinct
Anna District 4 precinct
Council Hill township
Derinda township
Dunleith township
Elizabeth township
Guilford township
Hanover township
Harlem township
Jefferson township
Kent township
Oneco township
Rock Grove township
Jonesboro District 3 precinct
Anna District 7 precinct
Waddams township
West Point township
Bement township
Friendsville precinct
Mount Carmel precinct
Normal township
Nilwood township
Wabash precinct
Compton precinct
Goose Creek township
Monticello township
Sangamon township
Willow Branch township
Carman township
Gladstone township
Lomax township
Bonpas township
Olney township
Santa Anna township
Media township
Oquawka township
Stronghurst township
Lynn township
Ripley township
Barnett township
De Witt township
Rutledge township
Pine Creek township
Terre Haute township
Edgington township
Cambridge township
Alhambra township
Fort Russell township
Hamel township
Marine township
New Douglas township
Reynolds township
Olive township
Pin Oak township
St. Jacob township
Wood River township
Bellflower township
Dale township
Downs township
Leef township
Symmes township
Burton township
Coral township
Hartland township
Aurora township
St. Charles township
Pecatonica township
Lake No. 1 precinct
Vienna No. 2 precinct
Lake No. 2 precinct
Big Grove township
Bristol township
Fox township
Little Rock township
Bloomfield precinct
Na-Au-Say township
West Peoria city
Rockville township
South Jacksonville No. 1 precinct
Buckhorn township
Elkhorn township
Burnside precinct
Elvira precinct
Goreville No. 1 precinct
Grantsburg No. 1 precinct
Pembroke township
Pilot township
St. Anne township
Sumner township
Grantsburg No. 2 precinct
Ozark precinct
Kerton township
Lee township
Lewistown township
Simpson precinct
Vienna No. 1 precinct
Vienna No. 3 precinct
Liverpool township
Allin township
Anchor township
Arrowsmith township
Aroma township
Bourbonnais township
Harter township
Hoosier township
Larkinsburg township
Orion township
Pleasant township
Putman township
South Jacksonville No. 3 precinct
South Jacksonville No. 2 precinct
Union township
Coldbrook township
Ellison township
Floyd township
Victor township
Greenbush township
Murrayville precinct
Anderson township
Douglas township
Oakland township
Ashkum township
Belmont township
Middleport township
Prairie Green township
Kelly township
Lenox township
Monmouth township
Vermont township
Orange township
Alto township
Bluff Springs township
Precinct 2
Precinct 3
Artesia township
Beaver township
Swan township
Woodland township
Young Hickory township
Kinmundy township
Precinct 4
Precinct 5
Odin township
Precinct 7
Precinct 8
Precinct 9
Roseville township
Beaverville township
Crescent township
Douglas township
Fountain Creek township
Omega township
Sandoval township
Patoka township
Alma township
Elkhorn Grove township
Precinct 13
Precinct 16
Precinct 17
Precinct 18
Precinct 19
Iroquois township
Loda township
Lovejoy township
Milford township
Precinct 11
Precinct 14
Precinct 24
Precinct 27
Precinct 20
Precinct 23
Precinct 25
Precinct 26
Precinct 29
Precinct 30
Barrington township
Berwyn township
Staunton township
Clayton township
Milks Grove township
Onarga township
Papineau township
Pigeon Grove township
Ridgeland township
McClure precinct
Olive Branch precinct
Sandusky precinct
Sheldon township
Boynton township
Cincinnati township
Deer Creek township
Genesee township
Hahnaman township
Hopkins township
Hume township
Delavan township
Elm Grove township
Fondulac township
Montmorency township
Precinct 31
Precinct 32
Precinct 33
Precinct 34
Precinct 35
Precinct 36
Calumet township
Cicero township
Lemont township
New Trier township
Enfield township
Heralds Prairie township
Richwood township
Jersey township
Mississippi township
Otter Creek township
Piasa township
Quarry township
Rosedale township
Levan township
Murphysboro township
Precinct 21
Sand Ridge township
Groveland township
Hittle township
Mackinaw township
Manlius township
Malone township
Morton township
Pekin township
Rooks Creek township
Bath township
Vergennes township
Grand Tower township
Pomona township
Crook township
Knight Prairie township
Precinct 15
Precinct 22
County subdivisions not defined
Bremen township
Hanover township
Niles township
Proviso township
Thornton township
Northfield township
Norwood Park township
Oak Park township
Orland township
Hurricane township
La Clede township
Lone Grove township
Otego township
Shafter township
Wheatland township
Wilberton township
Somerset township
Spring Lake township
Tremont township
Washington township
Toulon township
Palatine township
Palos township
Riverside township
Schaumburg township
Bunker Hill township
Brighton township
Albany township
Ramsey township
Sefton township
Okawville township
Oakdale township
Coloma township
Fenton township
Fulton township
Garden Plain township
Allen township
Brookfield township
Dayton township
Lyons township
Wheeling township
Bird township
Brushy Mound township
Fox township
Dimmick township
Eagle township
Earl township
Eden township
Fall River township
Farm Ridge township
Grand Rapids township
Carlinville township
Girard township
Hillyard township
Honey Point township
Ustick township
Elk township
Allens Grove township
Hope township
LaSalle township
Manlius township
Mendota township
Meriden township
Miller township
Mount Olive township
North Otter township
Forest City township
Havana township
Manito township
Pennsylvania township
Quiver township
North Palmyra township
Polk township
Mission township
Northville township
Osage township
Ottawa township
Otter Creek township
Scottville township
Shaws Point township
Shipman township
Virden township
Abington township
Western Mound township
Prophetstown township
Sterling township
Tampico township
Union Grove township
Moraine township
Warren township
Zion township
Centreville township
Shiloh Valley township
Stookey township
Millstadt township
Lynnville-Markham precinct
Meredosia precinct
Chapin-Concord precinct
