County,Township,Label,COUSUBFP
De Witt County,Nixon township,,53117
De Witt County,Waynesville township,,79462
Mercer County,Duncan township,,20968
Crawford County,Martin township,,47202
McLean County,Martin township,,47215
McLean County,Money Creek township,,49971
McLean County,Mount Hope township,,50972
McLean County,Old Town township,,55782
Jasper County,South Muddy township,,71084
Clinton County,Wade township,,78344
Jasper County,Wade township,,78357
Mercer County,Keithsburg township,,39311
Jasper County,Willow Hill township,,82023
Gallatin County,Asbury township,,02427
Gallatin County,New Haven township,,52519
Schuyler County,Buena Vista township,,09395
Schuyler County,Woodstock township,,83362
Adams County,Columbus township,,15859
Bureau County,Concord township,,16028
Adams County,Concord township,,16015
Iroquois County,Concord township,,16041
Piatt County,Unity township,,76888
Putnam County,Granville township,,31030
Putnam County,Hennepin township,,34124
Adams County,Fall Creek township,,25258
Adams County,Honey Creek township,,35957
Crawford County,Honey Creek township,,35970
McLean County,Randolph township,,62692
McLean County,Towanda township,,75835
Effingham County,West township,,79891
McLean County,West township,,79904
McLean County,White Oak township,,81321
McLean County,Yates township,,83804
Rock Island County,Andalusia township,,01439
Rock Island County,Blackhawk township,,06301
Rock Island County,Bowling township,,07549
Rock Island County,Buffalo Prairie township,,09512
Fayette County,Seminary township,,68601
Fayette County,South Hurricane township,,70876
Fayette County,Vandalia township,,77330
Fayette County,Avena township,,03155
Fayette County,Bear Grove township,,04377
Fayette County,Carson township,,11501
Fayette County,Loudon township,,44901
Fayette County,Pope township,,61106
Rock Island County,Canoe Creek township,,10955
Rock Island County,Coe township,,15326
Rock Island County,Cordova township,,16379
Rock Island County,Drury township,,20825
Rock Island County,Moline township,,49880
Rock Island County,Port Byron township,,61236
Rock Island County,Rock Island township,,65091
Bond County,Burgess township,,09694
Bond County,Central township,,12112
Ford County,Lyman township,,45252
Cook County,Bloom township,,06561
Cook County,Chicago city,,14000
DuPage County,Chicago city,,14000
Cook County,Elk Grove township,,23243
Cook County,Leyden township,,43120
Cook County,Maine township,,46162
Grundy County,Maine township,,46175
Cook County,Rich township,,63498
Cook County,River Forest township,,64317
Cook County,Stickney township,,72689
Cook County,Worth township,,83531
Woodford County,Worth township,,83544
Shelby County,Rural township,,66313
Rock Island County,Rural township,,66300
Rock Island County,South Moline township,,70993
Rock Island County,South Rock Island township,,71201
Putnam County,Magnolia township,,46123
McHenry County,Alden township,,00607
Putnam County,Senachwine township,,68627
Hamilton County,Crouch township,,17809
Hamilton County,Dahlgren township,,18316
Hamilton County,Flannigan township,,26324
Hamilton County,Mayberry township,,47657
Hamilton County,South Flannigan township,,70785
Adams County,Houston township,,36295
Rock Island County,Hampton township,,32577
Rock Island County,Zuma township,,84246
Morgan County,Jacksonville No. 6 precinct,,91716
Morgan County,Jacksonville No. 7 precinct,,91717
Morgan County,Jacksonville No. 8 precinct,,91718
Morgan County,Jacksonville No. 9 precinct,,91719
Morgan County,Jacksonville No. 11 precinct,,91721
Morgan County,Jacksonville No. 12 precinct,,91722
Adams County,Keene township,,39220
Hancock County,Carthage township,,11540
Hancock County,Harmony township,,32993
Hancock County,Montebello township,,50140
Hancock County,Warsaw township,,78955
Hancock County,Fountain Green township,,27325
Bond County,Mills township,,49321
Bond County,Pleasant Mound township,,60586
White County,Burnt Prairie township,,09902
White County,Gray township,,31069
White County,Indian Creek township,,37231
White County,Phillips township,,59507
Madison County,Chouteau township,,14260
Madison County,Collinsville township,,15612
Madison County,Foster township,,27182
Marion County,Foster township,,27195
Madison County,Moro township,,50465
Madison County,Nameoki township,,51583
Madison County,Omphghent township,,56068
Madison County,Saline township,,67275
Madison County,Venice township,,77486
Morgan County,Literberry precinct,,91926
Massac County,Jefferson precinct,,91740
Effingham County,Liberty township,,43159
Adams County,Liberty township,,43146
Clark County,Melrose township,,48229
Adams County,Melrose township,,48203
Adams County,Payson township,,58278
Adams County,Riverside township,,64408
Cook County,Riverside township,,64434
Adams County,Quincy township,,62380
Adams County,McKee township,,45746
Adams County,Northeast township,,53624
Adams County,Richfield township,,63550
Greene County,Walkerville township,,78461
Washington County,Covington township,,17042
Washington County,Hoyleton township,,36360
Washington County,Venedy township,,77434
Morgan County,Waverly No. 2 precinct,,93642
Massac County,Benton precinct,,90396
Massac County,Logan precinct,,91944
Massac County,Metropolis No. 1 precinct,,92070
Adams County,Honey Creek township,,35957
Crawford County,Honey Creek township,,35970
Wabash County,Bellmont precinct,,90378
Wabash County,Lick Prairie precinct,,91890
Bureau County,Westfield township,,80268
Clark County,Westfield township,,80294
Saline County,Carrier Mills township,,11404
Saline County,Mountain township,,50803
Saline County,Stonefort township,,72897
Morgan County,Woodson precinct,,93852
Coles County,Ashmore township,,02570
Coles County,East Oakland township,,22138
Coles County,Morgan township,,50400
St. Clair County,Caseyville township,,11657
St. Clair County,Fayetteville township,,25726
St. Clair County,Mascoutah township,,47436
St. Clair County,O'Fallon township,,55262
St. Clair County,Smithton township,,70265
St. Clair County,Sugar Loaf township,,73456
Coles County,Pleasant Grove township,,60469
Douglas County,Arcola township,,01894
Grundy County,Saratoga township,,67678
Marshall County,Saratoga township,,67691
Grundy County,Goose Lake township,,30549
St. Clair County,Stites township,,72741
Pulaski County,Karnak precinct,,91800
Pulaski County,Pulaski precinct,,92952
Pulaski County,Wetaug precinct,,93744
Piatt County,Cerro Gordo township,,12275
Piatt County,Blue Ridge township,,06808
Madison County,Helvetia township,,33981
Edgar County,Brouilletts Creek township,,08901
Pulaski County,America precinct,,90108
Pulaski County,Mound City precinct,,92178
Pulaski County,Olmsted precinct,,92322
Pulaski County,Perks precinct,,92412
Vermilion County,Ross township,,65949
Edgar County,Ross township,,65923
Pike County,Ross township,,65936
Bureau County,Fairfield township,,24790
Edgar County,Buck township,,09213
Edgar County,Edgar township,,22502
Edgar County,Elbridge township,,22912
