STATEFP,COUNTYFP,NAMELSAD,COUSUBFP
17,119,Collinsville township,15612
17,119,Foster township,27182
17,119,Moro township,50465
17,119,Nameoki township,51583
17,119,Omphghent township,56068
17,119,Saline township,67275
17,119,Venice township,77486
17,137,Literberry precinct,91926
17,127,Jefferson precinct,91740
17,001,Liberty township,43146
17,001,Melrose township,48203
17,001,Payson township,58278
17,001,Riverside township,64408
17,001,Quincy township,62380
17,001,McKee township,45746
17,001,Northeast township,53624
17,001,Richfield township,63550
17,061,Walkerville township,78461
17,189,Covington township,17042
17,189,Hoyleton township,36360
17,189,Venedy township,77434
17,137,Waverly No. 2 precinct,93642
17,127,Benton precinct,90396
17,127,Logan precinct,91944
17,127,Metropolis No. 1 precinct,92070
17,033,Honey Creek township,35970
17,185,Bellmont precinct,90378
17,185,Lick Prairie precinct,91890
17,023,Westfield township,80294
17,165,Carrier Mills township,11404
17,165,Mountain township,50803
17,165,Stonefort township,72897
17,137,Woodson precinct,93852
17,029,Ashmore township,02570
17,029,East Oakland township,22138
17,029,Morgan township,50400
17,163,Caseyville township,11657
17,163,Fayetteville township,25726
17,163,Mascoutah township,47436
17,163,O'Fallon township,55262
17,163,Smithton township,70265
17,163,Sugar Loaf township,73456
17,029,Pleasant Grove township,60469
17,041,Arcola township,01894
17,063,Saratoga township,67678
17,063,Goose Lake township,30549
17,163,Stites township,72741
17,153,Karnak precinct,91800
17,153,Pulaski precinct,92952
17,153,Wetaug precinct,93744
17,147,Cerro Gordo township,12275
17,147,Blue Ridge township,06808
17,119,Helvetia township,33981
17,045,Brouilletts Creek township,08901
17,153,America precinct,90108
17,153,Mound City precinct,92178
17,153,Olmsted precinct,92322
17,153,Perks precinct,92412
17,183,Ross township,65949
17,011,Fairfield township,24790
17,045,Buck township,09213
17,045,Edgar township,22502
17,045,Elbridge township,22912
17,045,Embarrass township,23958
17,191,Big Mound township,05950
17,191,Elm River township,23685
17,191,Leech township,42626
17,095,Galesburg City township,28352
17,045,Grandview township,30822
17,045,Hunter township,36685
17,045,Paris township,57641
17,095,Walnut Grove township,78565
17,071,Bald Bluff township,03415
17,045,Prairie township,61483
17,045,Ross township,65923
17,089,Burlington township,09772
17,089,Elgin township,23087
17,135,Fillmore Consolidated township,26094
17,173,Holland township,35567
17,173,Oconee township,55145
17,139,Lowe township,45083
17,033,Licking township,43315
17,173,Big Spring township,06002
17,173,Cold Spring township,15417
17,173,Dry Point township,20851
17,173,Flat Branch township,26337
17,173,Herrick township,34345
17,173,Lakewood township,41690
17,163,Belleville city,04845
17,173,Moweaqua township,51245
17,173,Okaw township,55457
17,031,Evanston city,24582
17,043,Addison township,00250
17,043,Downers Grove township,20604
17,043,Naperville township,51635
17,043,Winfield township,82413
17,045,Shiloh township,69498
17,045,Stratton township,73092
17,045,Young America township,84064
17,043,Chicago city,14000
17,169,Bainbridge township,03350
17,169,Birmingham township,06132
17,161,Coal Valley township,15248
17,149,Pittsfield township,60235
17,149,Pleasant Hill township,60547
17,099,Adams township,00204
17,099,Ophir township,56224
17,149,Pleasant Vale township,60651
17,149,Ross township,65936
17,149,Spring Creek township,71617
17,133,Precinct 1,92550
17,133,Precinct 6,92575
17,133,Precinct 10,92595
17,099,Richland township,63576
17,103,Amboy township,01283
17,083,English township,24231
17,083,Fidelity township,25973
17,043,Bloomingdale township,06600
17,141,Forreston township,27078
17,169,Brooklyn township,08693
17,169,Browning township,08966
17,169,Camden township,10708
17,169,Frederick township,27793
17,169,Hickory township,34462
17,169,Huntsville township,36776
17,143,Akron township,00477
17,143,Brimfield township,08316
17,143,Chillicothe township,14130
17,143,Elmwood township,23711
17,143,Hollis township,35645
17,143,Jubilee township,38765
17,143,Limestone township,43523
17,001,Clayton township,14780
17,001,Ellington township,23412
17,001,Gilmer township,29288
17,001,Lima township,43458
17,001,Mendon township,48320
17,001,Ursa township,77057
17,133,Precinct 37,92730
17,133,Precinct 28,92685
17,103,Bradford township,07679
17,103,Brooklyn township,08654
17,103,Harmon township,32980
17,103,Lee Center township,42613
17,169,Rushville township,66352
17,187,Hale township,32226
17,187,Spring Grove township,72065
17,013,Belleview precinct,90360
17,013,Carlin precinct,90630
17,013,Crater precinct,90900
17,013,Gilead precinct,91350
17,013,Hamburg precinct,91584
17,145,Du Quoin No. 2 precinct,91011
17,145,Beaucoup precinct,90342
17,145,Sunfield precinct,93330
17,145,Pinckneyville No. 8 precinct,92475
17,145,Tamaroa No. 1 precinct,93384
17,145,Cutler precinct,90936
17,143,Logan township,44342
17,143,Millbrook township,49113
17,143,Princeville township,61938
17,143,Radnor township,62510
17,143,Richwoods township,63771
17,143,Rosefield township,65715
17,143,Timber township,75289
17,093,Lisbon township,43913
17,097,Vernon township,77668
17,125,Mason City township,47482
17,157,Percy precinct,92394
17,179,Sand Prairie township,67483
17,203,Cruger township,17861
17,137,Jacksonville No. 10 precinct,91720
17,103,Wyoming township,83674
17,013,Hardin precinct,91602
17,169,Littleton township,44069
17,013,Richwood precinct,92988
17,197,Lockport township,44238
17,197,Wilton township,82244
17,197,Channahon township,12483
17,197,Crete township,17536
17,197,Custer township,18199
17,197,Florence township,26519
17,197,Frankfort township,27631
17,149,Martinsburg township,47241
17,143,Trivoli township,76121
17,143,West Peoria township,80749
17,103,Nachusa township,51557
17,111,Chemung township,12892
17,175,Osceola township,56783
17,199,Carterville precinct,90648
17,199,Creal Springs precinct,90918
17,199,Herrin precinct,91620
17,199,Stonefort precinct,93294
17,199,Crab Orchard precinct,90882
17,111,Dorr township,20396
17,111,Dunham township,21111
17,111,Grafton township,30666
17,111,Greenwood township,31680
17,111,Hebron township,33864
17,191,Zif township,84194
17,181,Jonesboro District 1 precinct,91764
17,149,Levee township,43003
17,149,Montezuma township,50192
17,025,Clay City township,14728
17,105,Nebraska township,51895
17,105,Sunbury township,73781
17,197,Green Garden township,31394
17,197,Homer township,35827
17,197,Jackson township,38076
17,197,Joliet township,38583
17,197,Monee township,49958
17,197,New Lenox township,52597
17,075,Ash Grove township,02453
17,075,Chebanse township,12814
17,075,Concord township,16041
17,075,Danforth township,18511
17,075,Martinton township,47293
17,145,Du Quoin No. 8 precinct,91017
17,199,Corinth precinct,90846
17,199,Southern precinct,93204
17,199,Lake Creek precinct,91836
17,111,McHenry township,45707
17,111,Marengo township,46799
17,111,Richmond township,63654
17,035,Crooked Creek township,17640
17,035,Spring Point township,72143
17,111,Riley township,64096
17,111,Nunda township,54495
17,111,Seneca township,68653
17,025,Bible Grove township,05807
17,025,Blair township,06392
17,025,Oskaloosa township,56835
17,025,Pixley township,60261
17,139,Sullivan township,73508
17,091,Otto township,57017
17,025,Songer township,70486
17,025,Stanford township,72247
17,025,Xenia township,83752
17,057,Farmington township,25544
17,057,Harris township,33110
17,057,Isabel township,37842
17,057,Waterford township,79137
17,179,Little Mackinaw township,44017
17,135,Butler Grove township,10175
17,135,Nokomis township,53182
17,135,North Litchfield township,53949
17,135,Raymond township,62978
17,089,Batavia township,04091
17,089,Big Rock township,05989
17,089,Blackberry township,06262
17,089,Campton township,10903
17,035,Cottonwood township,16587
17,035,Sumpter township,73729
17,035,Woodbury township,82959
17,035,Greenup township,31537
17,181,Alto Pass precinct,90090
17,089,Dundee township,21046
17,089,Geneva township,28885
17,089,Hampshire township,32538
17,089,Kaneville township,38908
17,121,Centralia township,12177
17,121,Romine township,65455
17,121,Salem township,67249
17,121,Tonti township,75744
17,099,Peru township,59247
17,099,Serena township,68692
17,057,Deerfield township,18979
17,099,South Ottawa township,71110
17,099,Troy Grove township,76238
17,099,Utica township,77096
17,099,Wallace township,78487
17,099,Waltham township,78682
17,085,East Galena township,21813
17,167,Pawnee township,58187
17,091,Essex township,24465
17,091,Ganeer township,28456
17,091,Kankakee township,38947
17,091,Limestone township,43497
17,091,Manteno township,46513
17,091,Momence township,49906
17,091,Norton township,54352
17,157,Brewerville precinct,90522
17,157,Kaskaskia precinct,91818
17,157,Rockwood precinct,93042
17,157,Wine Hill precinct,93834
17,041,Bourbon township,07458
17,171,Alsey precinct,90072
17,171,Bloomfield precinct,90468
17,171,Glasgow precinct,91368
17,171,Manchester precinct,92016
17,041,Bowdre township,07497
17,041,Camargo township,10604
17,041,Garrett township,28755
17,041,Murdock township,51427
17,041,Newman township,52636
17,041,Sargent township,67730
17,041,Tuscola township,76420
17,021,Stonington township,72962
17,081,Bald Hill township,03428
17,081,Blissville township,06496
17,081,Casner township,11670
17,081,Dodds township,20227
17,081,Elk Prairie township,23334
17,081,Farrington township,25648
17,081,Field township,25986
17,081,Grand Prairie township,30731
17,171,Merritt precinct,92052
17,171,Naples-Bluffs precinct,92250
17,171,Winchester No. 1 precinct,93780
17,171,Winchester No. 2 precinct,93798
17,081,McClellan township,45512
17,081,Moores Prairie township,50348
17,081,Mount Vernon township,51193
17,081,Pendleton township,58564
17,081,Rome township,65377
17,081,Shiloh township,69511
17,081,Spring Garden township,72039
17,081,Webber township,79514
17,157,Central precinct,90702
17,157,Coulterville precinct,90864
17,157,Palestine precinct,92358
17,157,Steeleville precinct,93240
17,157,Tilden precinct,93438
17,157,Baldwin precinct,90306
17,157,Ellis Grove precinct,91170
17,115,Blue Mound township,06769
17,115,Decatur township,18836
17,171,Winchester No. 3 precinct,93816
17,203,El Paso township,23750
17,085,Menominee township,48372
17,085,Nora township,53208
17,115,Friends Creek township,27988
17,115,Harristown township,33240
17,115,Hickory Point township,34527
17,115,Long Creek township,44511
17,115,Maroa township,47085
17,115,Mount Zion township,51219
17,099,Deer Park township,19096
17,099,Groveland township,31914
17,099,Vermillion township,77623
17,085,Pleasant Valley township,60664
17,085,Rawlins township,62926
17,167,Clear Lake township,14858
17,167,Curran township,18160
17,167,Gardner township,28651
17,141,Brookville township,08784
17,085,Rice township,63472
17,085,Rush township,66326
17,085,Scales Mound township,67938
17,115,Niantic township,52974
17,115,Oakley township,54859
17,115,South Wheatland township,71357
17,115,Whitmore township,81464
17,085,Thompson township,75146
17,085,Wards Grove township,78799
17,085,Warren township,78864
