COUSUBFP,NAMELSAD,Place Name,Label
43315,Licking township,Crawford County,
6002,Big Spring township,Shelby County,
15417,Cold Spring township,Shelby County,
20851,Dry Point township,Shelby County,
26337,Flat Branch township,Shelby County,
34345,Herrick township,Shelby County,
41690,Lakewood township,Shelby County,
4845,Belleville city,St. Clair County,
51245,Moweaqua township,Shelby County,
55457,Okaw township,Shelby County,
24582,Evanston city,Cook County,
250,Addison township,DuPage County,In the Pipeline
20604,Downers Grove township,DuPage County,Current Clients
51635,Naperville township,DuPage County,In the Pipeline
82413,Winfield township,DuPage County,
69498,Shiloh township,Edgar County,
73092,Stratton township,Edgar County,
84064,Young America township,Edgar County,
14000,Chicago city,DuPage County,
3350,Bainbridge township,Schuyler County,
6132,Birmingham township,Schuyler County,
15248,Coal Valley township,Rock Island County,In the Pipeline
60235,Pittsfield township,Pike County,
60547,Pleasant Hill township,Pike County,
204,Adams township,La Salle County,In the Pipeline
56224,Ophir township,La Salle County,In the Pipeline
60651,Pleasant Vale township,Pike County,
65936,Ross township,Pike County,
71617,Spring Creek township,Pike County,
92550,Precinct 1,Monroe County,
92575,Precinct 6,Monroe County,
92595,Precinct 10,Monroe County,
63576,Richland township,La Salle County,In the Pipeline
1283,Amboy township,Lee County,
24231,English township,Jersey County,
25973,Fidelity township,Jersey County,
6600,Bloomingdale township,DuPage County,
27078,Forreston township,Ogle County,Current Clients
8693,Brooklyn township,Schuyler County,
8966,Browning township,Schuyler County,
10708,Camden township,Schuyler County,
27793,Frederick township,Schuyler County,
34462,Hickory township,Schuyler County,
36776,Huntsville township,Schuyler County,
477,Akron township,Peoria County,Current Clients
8316,Brimfield township,Peoria County,In the Pipeline
14130,Chillicothe township,Peoria County,Current Clients
23711,Elmwood township,Peoria County,Current Clients
35645,Hollis township,Peoria County,Current Clients
38765,Jubilee township,Peoria County,Current Clients
43523,Limestone township,Peoria County,Current Clients
14780,Clayton township,Adams County,
23412,Ellington township,Adams County,
29288,Gilmer township,Adams County,
43458,Lima township,Adams County,
48320,Mendon township,Adams County,
77057,Ursa township,Adams County,
92730,Precinct 37,Monroe County,
92685,Precinct 28,Monroe County,
7679,Bradford township,Lee County,
8654,Brooklyn township,Lee County,
32980,Harmon township,Lee County,
42613,Lee Center township,Lee County,
66352,Rushville township,Schuyler County,
32226,Hale township,Warren County,
72065,Spring Grove township,Warren County,
90360,Belleview precinct,Calhoun County,
90630,Carlin precinct,Calhoun County,
90900,Crater precinct,Calhoun County,
91350,Gilead precinct,Calhoun County,
91584,Hamburg precinct,Calhoun County,
91011,Du Quoin No. 2 precinct,Perry County,
90342,Beaucoup precinct,Perry County,
93330,Sunfield precinct,Perry County,
92475,Pinckneyville No. 8 precinct,Perry County,
93384,Tamaroa No. 1 precinct,Perry County,
90936,Cutler precinct,Perry County,
44342,Logan township,Peoria County,Current Clients
49113,Millbrook township,Peoria County,Current Clients
61938,Princeville township,Peoria County,Current Clients
62510,Radnor township,Peoria County,Current Clients
63771,Richwoods township,Peoria County,Current Clients
65715,Rosefield township,Peoria County,Current Clients
75289,Timber township,Peoria County,Current Clients
43913,Lisbon township,Kendall County,In the Pipeline
43913,Lisbon township,Kendall County,In the Pipeline
77668,Vernon township,Lake County,Current Clients
47482,Mason City township,Mason County,
92394,Percy precinct,Randolph County,
67483,Sand Prairie township,Tazewell County,In the Pipeline
17861,Cruger township,Woodford County,
91720,Jacksonville No. 10 precinct,Morgan County,
83674,Wyoming township,Lee County,
91602,Hardin precinct,Calhoun County,
44069,Littleton township,Schuyler County,
92988,Richwood precinct,Calhoun County,
44238,Lockport township,Will County,
82244,Wilton township,Will County,
12483,Channahon township,Will County,
17536,Crete township,Will County,
18199,Custer township,Will County,
26519,Florence township,Will County,
27631,Frankfort township,Will County,
47241,Martinsburg township,Pike County,
76121,Trivoli township,Peoria County,
80749,West Peoria township,Peoria County,Current Clients
51557,Nachusa township,Lee County,
12892,Chemung township,McHenry County,
56783,Osceola township,Stark County,
90648,Carterville precinct,Williamson County,
90918,Creal Springs precinct,Williamson County,
91620,Herrin precinct,Williamson County,
93294,Stonefort precinct,Williamson County,
90882,Crab Orchard precinct,Williamson County,
20396,Dorr township,McHenry County,
21111,Dunham township,McHenry County,
30666,Grafton township,McHenry County,
31680,Greenwood township,McHenry County,
33864,Hebron township,McHenry County,
84194,Zif township,Wayne County,
91764,Jonesboro District 1 precinct,Union County,
43003,Levee township,Pike County,
50192,Montezuma township,Pike County,
14728,Clay City township,Clay County,
51895,Nebraska township,Livingston County,
73781,Sunbury township,Livingston County,
31394,Green Garden township,Will County,
35827,Homer township,Will County,
38076,Jackson township,Will County,
38583,Joliet township,Will County,
49958,Monee township,Will County,
52597,New Lenox township,Will County,
2453,Ash Grove township,Iroquois County,
12814,Chebanse township,Iroquois County,
16041,Concord township,Iroquois County,
18511,Danforth township,Iroquois County,
47293,Martinton township,Iroquois County,
91017,Du Quoin No. 8 precinct,Perry County,
90846,Corinth precinct,Williamson County,
93204,Southern precinct,Williamson County,
91836,Lake Creek precinct,Williamson County,
45707,McHenry township,McHenry County,
46799,Marengo township,McHenry County,
63654,Richmond township,McHenry County,
17640,Crooked Creek township,Cumberland County,
72143,Spring Point township,Cumberland County,
64096,Riley township,McHenry County,
54495,Nunda township,McHenry County,In the Pipeline
68653,Seneca township,McHenry County,
5807,Bible Grove township,Clay County,nan
6392,Blair township,Clay County,
56835,Oskaloosa township,Clay County,
60261,Pixley township,Clay County,
73508,Sullivan township,Moultrie County,
57017,Otto township,Kankakee County,
70486,Songer township,Clay County,
72247,Stanford township,Clay County,
83752,Xenia township,Clay County,
25544,Farmington township,Fulton County,
33110,Harris township,Fulton County,
37842,Isabel township,Fulton County,
79137,Waterford township,Fulton County,
44017,Little Mackinaw township,Tazewell County,In the Pipeline
10175,Butler Grove township,Montgomery County,
53182,Nokomis township,Montgomery County,
53949,North Litchfield township,Montgomery County,
62978,Raymond township,Montgomery County,
4091,Batavia township,Kane County,
5989,Big Rock township,Kane County,
6262,Blackberry township,Kane County,
10903,Campton township,Kane County,
16587,Cottonwood township,Cumberland County,
73729,Sumpter township,Cumberland County,
82959,Woodbury township,Cumberland County,
31537,Greenup township,Cumberland County,
90090,Alto Pass precinct,Union County,
